917-54-4	[Li]C
593-51-1	[Cl-].C[NH3+]
33689-83-7	CN.CN.OS(=O)(=O)O
67-56-1	CO
1455-13-6	[2H]OC
811-98-3	[2H]OC([2H])([2H])[2H]
75-05-8	CC#N
40730-94-7	CC(=O)O.NC=N
6313-33-3	NC=N
75-07-0	CC=O
2206-26-0	[2H]C([2H])([2H])C#N
75-12-7	NC=O
593-55-5	Br.CCN
506-59-2	Cl.CNC
75-23-0	CCN.FB(F)F
74-94-2	B.CNC
64-18-6	OC=O
302-15-8	CN[NH3+].OS(=O)(=O)[O-]
60-34-4	CNN
64-17-5	CCO
593-56-6	Cl.CON
556-63-8	[Li+].[O-]C=O
107-13-1	C=CC#N
503-17-3	CC#CC
107-12-0	CCC#N
15430-52-1	[Cl-].[NH3+]CC#C
151-63-3	NCC#N.OS(=O)(=O)O
5466-22-8	NCC#N.NCC#N.[O-]S(=O)(=O)[O-]
107-19-7	OCC#C
107-02-8	C=CC=O
624-83-9	CN=C=O
75-55-8	CC1CN1
107-11-9	NCC=C
503-29-7	C1CNC1
124-42-5	Cl.CC(=N)N
67-64-1	CC(=O)C
107-18-6	OCC=C
123-38-6	CCC=O
75-56-9	CC1CO1
503-30-0	C1COC1
123-39-7	CNC=O
60-35-5	CC(=O)N
107-29-9	C\C=N\O
15572-56-2	[Cl-].CC(C)[NH3+]
75-31-0	CC(C)N
107-10-8	CCCN
556-53-6	Cl.CCCN
75-22-9	C[NH](C)(C)[BH3+3]([H-])([H-])[H-]
3162-58-1	CN(C)C.O=S(=O)=O
57-13-6	NC(=O)N
624-84-0	NNC=O
64-19-7	CC(=O)O
107-31-3	COC=O
107-15-3	NCCN
22029-36-3	NCCN.OS(=O)(=O)O
333-18-6	Cl.Cl.NCCN
420-12-2	C1CS1
71-23-8	CCCO
67-63-0	CC(C)O
75-52-5	C[N+](=O)[O-]
141-43-5	NCCO
2002-24-6	Cl.NCCO
107-21-1	OCCO
75-08-1	CCS
